date,TT,MM-01,MM-02,MM-03,MM-04,MM-05,MM-06,MM-07,MM-11,MM-12,MM-13,MM-14,MM-15,MM-16,MM-17,MM-18,
22/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31/03/2020,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
01/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
02/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
03/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
04/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
05/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
06/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
07/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
08/04/2020,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
09/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12/04/2020,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
13/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18/04/2020,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
19/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
